agency,website_inventory,last_updated,count_websites,count_bureaus,count_offices,count_websites_without_bureau,count_websites_without_office,count_duplicate_websites,count_unacceptable_URLs
Department of Commerce,https://commerce.gov/websites.csv,8/20/25,553,13,0,0,553,0,1
Department of Homeland Security,https://dhs.gov/websites.csv,8/20/25,83,13,0,0,83,0,0
Department of Housing and Urban Development,https://hud.gov/websites.csv,8/20/25,25,7,0,0,25,0,0
National Aeronautics and Space Administration,https://nasa.gov/websites.csv,8/20/25,628,26,0,0,628,0,0
