website,agency,bureau,office,website_in_registry,website_agency_in_registry,website_bureau_in_registry,agency_matches,bureaus_match,agency_name_in_registry,bureau_name_in_registry
psl.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
pss.swpc.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
publications.gsl.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
qosap.research.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
ra4-gifs.weather.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
radar.weather.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
radar2pub.ncep.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
radar3pub.ncep.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
rapidrefresh.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
ready.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
repository.library.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
research.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
response.restoration.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
responselink.orr.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
restoreactscienceprogram.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
roc.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
sab.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
sanctuaries.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
sarsat.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
satable.ncep.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
satepsanone.nesdis.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
sciencecouncil.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
scsshore.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
sdr.gov,Department of Commerce,NOAA,,,Department of Commerce,National Science and Technology Council,TRUE,FALSE,TRUE,FALSE
seafoodinspection.nmfs.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
seagrant.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
secatchshares.fisheries.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
shield.gfdl.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
shoreline.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
sift.pmel.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
sites.gsl.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
slosh.nws.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
sord.nv.doe.gov,Department of Commerce,NOAA,,,Department of Energy,"US Department of Energy, Office of the CIO",FALSE,FALSE,TRUE,FALSE
sos.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
space.commerce.gov,Department of Commerce,NOAA,,,Department of Commerce,Department of Commerce,TRUE,FALSE,TRUE,FALSE
spaceweather.gov,Department of Commerce,NOAA,,,Department of Commerce,Space Environment Center W/NP9,TRUE,FALSE,TRUE,FALSE
spc.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
spo.nmfs.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
spot.weather.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
ssd.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
star.nesdis.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
stateoftheocean.osmc.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
stellwagen.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
storm.aoml.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
storms.ngs.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
stormscdn.ngs.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
swfsc-publications.fisheries.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
sworm.gov,Department of Commerce,NOAA,,,Department of Commerce,NOAA/Space Weather Prediction Center,TRUE,FALSE,TRUE,FALSE
swpc.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
tao.ndbc.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
tap.orr.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
techpartnerships.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
testbed.aviationweather.gov,Department of Commerce,NOAA,,,Department of Commerce,National Weather Service,TRUE,FALSE,TRUE,FALSE
testbeds.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
thunderbay.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
tidesandcurrents.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
token.gfdl.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
toolkit.climate.gov,Department of Commerce,NOAA,,,Department of Commerce,NWS/OPS33,TRUE,FALSE,TRUE,FALSE
training.weather.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
tsunami.coast.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
tsunami.gov,Department of Commerce,NOAA,,,Department of Commerce,West Coast & Alaska Tsunami Warning Center,TRUE,FALSE,TRUE,FALSE
tsunami.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
tsunami-cp.ncep.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
usicecenter.gov,Department of Commerce,NOAA,,,Department of Commerce,U. S. National Ice Center,TRUE,FALSE,TRUE,FALSE
vdatum.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
videos.fisheries.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
viewer.weather.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
viz.pmel.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
vlab.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
vms.nmfs.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
voices.nmfs.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
vos.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
water.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
weather.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
webapps.nwfsc.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
webeast.ngs.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
webform.pier.seagrant.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
wof.nssl.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
wpc.ncep.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
wpo.noaa.gov,Department of Commerce,NOAA,,,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE,FALSE,TRUE,FALSE
broadbandusa.ntia.gov,Department of Commerce,NTIA,,,Department of Commerce,National Telecommunications and Information Administration,TRUE,FALSE,TRUE,FALSE
cscrip.ntia.gov,Department of Commerce,NTIA,,,Department of Commerce,National Telecommunications and Information Administration,TRUE,FALSE,TRUE,FALSE
grants.ntia.gov,Department of Commerce,NTIA,,,Department of Commerce,National Telecommunications and Information Administration,TRUE,FALSE,TRUE,FALSE
its.ntia.gov,Department of Commerce,NTIA,,,Department of Commerce,National Telecommunications and Information Administration,TRUE,FALSE,TRUE,FALSE
ntia.gov,Department of Commerce,NTIA,,,Department of Commerce,National Telecommunications and Information Administration,TRUE,FALSE,TRUE,FALSE
www2.ntia.gov,Department of Commerce,NTIA,,,Department of Commerce,National Telecommunications and Information Administration,TRUE,FALSE,TRUE,FALSE
dblease.ntis.gov,Department of Commerce,NTIS,,,Department of Commerce,National Technical Information Service,TRUE,FALSE,TRUE,FALSE
dmf.ntis.gov,Department of Commerce,NTIS,,,Department of Commerce,National Technical Information Service,TRUE,FALSE,TRUE,FALSE
dmfcert.ntis.gov,Department of Commerce,NTIS,,,Department of Commerce,National Technical Information Service,TRUE,FALSE,TRUE,FALSE
ladmf.ntis.gov,Department of Commerce,NTIS,,,Department of Commerce,National Technical Information Service,TRUE,FALSE,TRUE,FALSE
ntis.gov,Department of Commerce,NTIS,,,Department of Commerce,National Technical Information Service,TRUE,FALSE,TRUE,FALSE
ntrl.ntis.gov,Department of Commerce,NTIS,,,Department of Commerce,National Technical Information Service,TRUE,FALSE,TRUE,FALSE
ptoft.ntis.gov,Department of Commerce,NTIS,,,Department of Commerce,National Technical Information Service,TRUE,FALSE,TRUE,FALSE
srs.ntis.gov,Department of Commerce,NTIS,,,Department of Commerce,National Technical Information Service,TRUE,FALSE,TRUE,FALSE
2001-2009.commerce.gov,Department of Commerce,OS,,,Department of Commerce,Department of Commerce,TRUE,FALSE,TRUE,FALSE
2010-2014.commerce.gov,Department of Commerce,OS,,,Department of Commerce,Department of Commerce,TRUE,FALSE,TRUE,FALSE
2014-2017.commerce.gov,Department of Commerce,OS,,,Department of Commerce,Department of Commerce,TRUE,FALSE,TRUE,FALSE
2017-2021.commerce.gov,Department of Commerce,OS,,,Department of Commerce,Department of Commerce,TRUE,FALSE,TRUE,FALSE
cldp.doc.gov,Department of Commerce,OS,,,Department of Commerce,Office of the Chief Information Officer,TRUE,FALSE,TRUE,FALSE
commerce.gov,Department of Commerce,OS,,,Department of Commerce,Department of Commerce,TRUE,FALSE,TRUE,FALSE
data.commerce.gov,Department of Commerce,OS,,,Department of Commerce,Department of Commerce,TRUE,FALSE,TRUE,FALSE
mbda.data.commerce.gov,Department of Commerce,OS,,,Department of Commerce,Department of Commerce,TRUE,FALSE,TRUE,FALSE
oig.doc.gov,Department of Commerce,OS,,,Department of Commerce,Office of the Chief Information Officer,TRUE,FALSE,TRUE,FALSE
socmed.commerce.gov,Department of Commerce,OS,,,Department of Commerce,Department of Commerce,TRUE,FALSE,TRUE,FALSE
assignment.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
certifiedcopycenter.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
developer.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
eog-tmng.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
estta.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
fees.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
globaldossier.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
idm-tmng.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
ipidentifier.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
mpep.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
my.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
oedci.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
patentcenter.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
ppubs.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
seqdata.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
tbmp.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
tfsr.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
tmdesigncodes.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
tmep.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
tmsearch.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
trademarkcenter.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
tsdr.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
ttabvue.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
www-search.uspto.gov,Department of Commerce,USPTO,,,Department of Commerce,USPTO,TRUE,TRUE,TRUE,FALSE
hud.gov,Department of Housing and Urban Development,Public Affairs,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
hudhomestore.gov,Department of Housing and Urban Development,Office of Housing,,,Department of Housing and Urban Development,Department of Housing and Urban Development,TRUE,FALSE,TRUE,FALSE
huduser.gov,Department of Housing and Urban Development,Policy Development and Research,,,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",TRUE,FALSE,TRUE,TRUE
answers.hud.gov,Department of Housing and Urban Development,Office of Housing,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
hudoig.gov,Department of Housing and Urban Development,Office of Inspector General,,,Department of Housing and Urban Development,Office of Inspector General,TRUE,TRUE,TRUE,TRUE
ginniemae.gov,Department of Housing and Urban Development,Government National Mortgage Association,,,Department of Housing and Urban Development,Government National Mortgage Association,TRUE,TRUE,TRUE,TRUE
resources.hud.gov,Department of Housing and Urban Development,Policy Development and Research,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,TRUE
my.ginniemae.gov,Department of Housing and Urban Development,Government National Mortgage Association,,,Department of Housing and Urban Development,Government National Mortgage Association,TRUE,TRUE,TRUE,TRUE
archives.huduser.gov,Department of Housing and Urban Development,Policy Development and Research,,,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",TRUE,FALSE,TRUE,TRUE
archives.hud.gov,Department of Housing and Urban Development,Public Affairs,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
cpd2.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,TRUE
data.hud.gov,Department of Housing and Urban Development,Policy Development and Research,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,TRUE
entp.hud.gov,Department of Housing and Urban Development,Office of Housing,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
okta.hud.gov,Department of Housing and Urban Development,Office of the Chief Information Officer,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
drgr.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,TRUE
hudapps.hud.gov,Department of Housing and Urban Development,Office of the Chief Information Officer,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
idis.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,TRUE
esnaps.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,TRUE
portalapps.hud.gov,Department of Housing and Urban Development,Office of the Chief Information Officer,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
heros.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,TRUE
apps.hud.gov,Department of Housing and Urban Development,Office of Housing,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
egis.hud.gov,Department of Housing and Urban Development,Policy Development and Research,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,TRUE
hudapps2.hud.gov,Department of Housing and Urban Development,Office of the Chief Information Officer,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
hudhousingcounselors.hud.gov,Department of Housing and Urban Development,Office of Housing,,,Department of Housing and Urban Development,Web Master  Pulic Affair,TRUE,FALSE,TRUE,FALSE
access.ginniemae.gov,Department of Housing and Urban Development,Government National Mortgage Association,,,Department of Housing and Urban Development,Government National Mortgage Association,TRUE,TRUE,TRUE,TRUE
3dmaggs.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
aab.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
above.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
access.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
acd-ext.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
acd-pub.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
acquisition.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
adt.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
aero.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
aerocenter.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
aeroelasticity.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
aeronet.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
ahed.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
ai.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
aiaa-dpw.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
airbornescience.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
aircrafticing.grc.nasa.gov,National Aeronautics and Space Administration,NASA Glenn Research Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
airmoss.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
airquality.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
airrange.ssc.nasa.gov,National Aeronautics and Space Administration,NASA Stennis Space Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
airs.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
airsar.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
airsea.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
airsnrt.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
akama.arc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
amdsb.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
ammos.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
ampb.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
analogstudies.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
ao.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
aos.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,FALSE,FALSE,FALSE
api.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,TRUE,TRUE,FALSE,FALSE
