Website,Agency,Bureau,Subcomponent
mysales.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
srp.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
ppms.gov,General Services Administration,General Services Administration,
gsafcu.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
tams.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
ncportal.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
r2.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
tech.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
mysalesb.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
gsafleet.gov,General Services Administration,General Services Administration,
support.gsaig.gov,General Services Administration,GSA Office of Inspector General,
webshop.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
listserv.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
fellows-in-innovation.pif.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
feedback.usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
reporting.gov,General Services Administration,"GSA, IDI, EAS-SF",
performance.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
open.usa.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
plainlanguage.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
sam.gov,General Services Administration,"GSA, FAS, System for Award Management",
esrs.gov,General Services Administration,"GSA, FAS, System for Award Management",
derisking-guide.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
fpds.gov,General Services Administration,"GSA, IQ-FPDS-FPDS Portal",
finance.ocfo.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
fpc.gov,General Services Administration,"GSA, TTS, Federalist",
afadvantage.gov,General Services Administration,"GSA, FAS, Advantage",
secureauth.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
fairs.reporting.gov,General Services Administration,"GSA, IDI, EAS-SF",
developers.login.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
property.reporting.gov,General Services Administration,"GSA, IDI, EAS-SF",
travel.reporting.gov,General Services Administration,"GSA, IDI, EAS-SF",
inventory.data.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
api.sam.gov,General Services Administration,"GSA, FAS, System for Award Management",
playbook.cio.gov,General Services Administration,"GSA, CIO.GOV",
cio.gov,General Services Administration,"GSA, CIO.GOV",
obamaadministration.archives.performance.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
trumpadministration.archives.performance.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
project-open-data.cio.gov,General Services Administration,"GSA, CIO.GOV",
conexus-cert.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
panthers.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
pages.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
dashboard.int.identitysandbox.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
mia-django-devops.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
fac-prod.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
idp.sujana09.identitysandbox.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
idp.mww59.identitysandbox.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
cbca.gov,General Services Administration,Civilian Board of Contract Appeals,
vote.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
d2d.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
hallways.cap.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
phdc-pub.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
gsaadvantage-cors.fas.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
evaluation.gov,General Services Administration,Office of Government-wide Policy,
alpha.cpars.gov,General Services Administration,"GSA, FAS, System for Award Management",
afm.fmi.gov,General Services Administration,"GSA, IC, OGP WebPortfolio",
fac-preview.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
publiccourts.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
labs.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
idp.vivek.identitysandbox.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
tmss.preprod-acqit.helix.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
handbook.tts.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
tams.preprod.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
pfabankfindui-d.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
scopereview.gsa.gov,General Services Administration,"GSA, IDI, ECAS II",
pfabankapi-q.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
agile.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
product-guide.18f.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
tstservice.fsd.gov,General Services Administration,"GSA, IQ-FSD-FSD Portal",
code.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
pfabankui-q.app.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
contractdirectory.gov,General Services Administration,"GSA, FAS, FPDS",
cpars.gov,General Services Administration,"GSA, FAS, System for Award Management",
catalog.data.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
fai.gov,General Services Administration,"GSA, IC, FAI",
app.fac.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
api.data.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
data.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
sdg.data.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
federation.data.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
resources.data.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
strategy.data.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
login.fr.cloud.gov,General Services Administration,"GSA,FAS,Technology Transformation Service",
