agency,website_inventory
Department of Agriculture,https://usda.gov/websites.csv
Department of Commerce,https://commerce.gov/websites.csv
Department of Defense,https://defense.gov/websites.csv
Department of Education,https://ed.gov/websites.csv
Department of Energy,https://energy.gov/websites.csv
Department of Health and Human Services,https://hhs.gov/websites.csv
Department of Homeland Security,https://dhs.gov/websites.csv
Department of Housing and Urban Development,https://hud.gov/websites.csv
Department of Justice,https://justice.gov/websites.csv
Department of Labor,https://dol.gov/websites.csv
Department of State,https://state.gov/websites.csv
Department of the Interior,https://doi.gov/websites.csv
Department of the Treasury,https://treasury.gov/websites.csv
Department of Transportation,https://transportation.gov/websites.csv
Department of Veterans Affairs,https://va.gov/websites.csv
Environmental Protection Agency,https://epa.gov/websites.csv
General Services Administration,https://gsa.gov/websites.csv
National Aeronautics and Space Administration,https://nasa.gov/websites.csv
National Science Foundation,https://nsf.gov/websites.csv
Nuclear Regulatory Commission,https://nrc.gov/websites.csv
Office of Personnel Management,https://opm.gov/websites.csv
Small Business Administration,https://sba.gov/websites.csv
Social Security Administration,https://ssa.gov/websites.csv
U.S. Agency for International Development,https://usaid.gov/websites.csv
Federal Retirement Thrift Investment Board,https://frtib.gov/websites.csv
American Battle Monuments Commission,https://abmc.gov/websites.csv
Barry Goldwater Scholarship and Excellence in Education Foundation,https://goldwaterscholarship.gov/websites.csv
Bureau of Consumer Financial Protection,https://cfpb.gov/websites.csv
Commission for the Preservation of America's Heritage Abroad,https://heritageabroad.gov/websites.csv
Corporation for National and Community Service,https://americorps.gov/websites.csv
Delta Regional Authority,https://dra.gov/websites.csv
Denali Commission,https://denali.gov/websites.csv
Equal Employment Opportunity Commission,https://eeoc.gov/websites.csv
Export-Import Bank of the United States,https://exim.gov/websites.csv
Farm Credit Administration,https://fca.gov/websites.csv
Federal Communications Commission,https://fcc.gov/websites.csv
Federal Deposit Insurance Corporation,https://fdic.gov/websites.csv
Federal Election Commission,https://fec.gov/websites.csv
Federal Labor Relations Authority,https://flra.gov/websites.csv
Federal Maritime Commission,https://fmc.gov/websites.csv
Federal Mine Safety and Health Review Commission,https://fmshrc.gov/websites.csv
Federal Permitting Improvement Steering Council,https://fpisc.gov/websites.csv
Federal Trade Commission,https://ftc.gov/websites.csv
Institute of Museum and Library Services,https://imls.gov/websites.csv
Inter-American Foundation,https://iaf.gov/websites.csv
International Trade Commission,https://usitc.gov/websites.csv
Merit Systems Protection Board,https://mspb.gov/websites.csv
Morris K. Udall and Stewart L. Udall Foundation,https://udall.gov/websites.csv
National Archives and Records Administration,https://archives.gov/websites.csv
National Council on Disability,https://ncd.gov/websites.csv
National Credit Union Administration,https://ncua.gov/websites.csv
National Endowment for the Arts,https://arts.gov/websites.csv
National Endowment for the Humanities,https://neh.gov/websites.csv
National Labor Relations Board,https://nlrb.gov/websites.csv
National Mediation Board,https://mnb.gov/websites.csv
National Transportation Safety Board,https://ntsb.gov/websites.csv
Northern Border Regional Commission,https://nbrc.gov/websites.csv
Occupational Safety and Health Review Commission,https://oshrc.gov/websites.csv
Office of Government Ethics,https://oge.gov/websites.csv
Office of Navajo and Hopi Indian Relocation,https://onhir.gov/websites.csv
Presidio Trust,https://presidiotrust.gov/websites.csv
Privacy and Civil Liberties Oversight Board,https://pclob.gov/websites.csv
Railroad Retirement Board,https://rrb.gov/websites.csv
Securities and Exchange Commission,https://sec.gov/websites.csv
Selective Service System,https://sss.gov/websites.csv
Surface Transportation Board,https://stb.gov/websites.csv
Tennessee Valley Authority,https://tva.gov/websites.csv
U.S. Access Board,https://access-board.gov/websites.csv
U.S. Agency for Global Media,https://usagm.gov/websites.csv
U.S. Commission on Civil Rights,https://usccr.gov/websites.csv
U.S. Nuclear Waste Technical Review Board,https://nwtrb.gov/websites.csv
Inter-American Foundation,https://iaf.gov/websites.csv
Millennium Challenge Corporation,https://mcc.gov/websites.csv
U.S. International Development Finance Corporation,https://dfc.gov/websites.csv
Federal Energy Regulatory Commission,https://ferc.gov/websites.csv
Social Security Advisory Board,https://ssab.gov/websites.csv
Pension Benefit Guaranty Corporation,https://pbgc.gov/websites.csv
U.S. Trade and Development Agency,https://ustda.gov/websites.csv
